event_id,year,event_label,geography,cities,population_weighted_total_opportunity_contribution,area_weighted_total_opportunity_contribution,population_weighted_cross_city_opportunity_contribution,area_weighted_cross_city_opportunity_contribution,population_weighted_coverage_contribution,area_weighted_coverage_contribution,population_weighted_total_contribution_uncovered,population_weighted_total_contribution_covered
D2018_E01_GZ_M3_AIRPORT_NORTH,2018,Guangzhou Line 3 Airport North extension,D_equal_city,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,D_equal_city,3,144.38089772270308,33.4042259971548,1.040408425121016,0.18519033089953366,0.00015715778498527825,4.9389616149806175e-05,99.63449026443409,306.07875601276066
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,D_equal_city,3,3522.2986828348658,389.68146774248936,522.3845734419848,87.28666886624796,0.0009482894456291777,8.615706565221248e-05,1644.1540882475647,16652.204059823907
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,D_equal_city,3,1499.5031110419122,325.1948221045088,40.9301446776213,7.485187348793622,0.00145610950484911,0.0005309383736104164,890.8775578205531,4144.3799204178495
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,D_equal_city,3,16.94356984373663,15.338780645229198,0.0,0.0,0.0005865183199729207,0.00037042212112354633,16.626717612048857,17.96796887505634
D2019_E01_GZ_M21_WEST,2019,Guangzhou Line 21 western section,D_equal_city,3,4340.052231412116,815.1781771292518,116.63214806019703,18.783894778482704,0.002742059449551875,0.000592675393797674,3634.050720138283,7864.821917293114
D2019_E02_GZ_M8_CULTURAL_PARK,2019,Guangzhou Line 8 Cultural Park extension,D_equal_city,3,1472.6605655318197,136.22701377863834,143.2354264215662,21.457169003163127,0.00017439493958943905,1.2032956643495266e-05,392.0414126484422,7062.325974695056
D2019_E03_FS_TRAM_GM1,2019,Foshan Gaoming Tram demonstration line,D_equal_city,3,54.06562635992301,27.92615127515636,0.0,0.0,0.0019690004671610085,0.001065059292854084,56.31651905699638,0.0
D2020_E01_GZ_TRAM_HP1_FIRST,2020,Huangpu Tram 1 first section,D_equal_city,3,272.4594138663504,164.51874178319747,0.513523676784184,0.2461221315876239,0.0004701497734965958,0.0004074643332359009,182.95646590299074,542.9673583913692
D2020_E02_GZ_M8_NORTH,2020,Guangzhou Line 8 northern extension,D_equal_city,3,9727.818445167293,1192.605241405561,648.8613777282908,109.13345005108108,0.003953836255274401,0.000567980585722771,6449.762040146354,27344.640681238012
D2020_E03_LOCAL_INTERCITY,2020,Guangqing-Guangzhou East Ring through-running local intercity,D_equal_city,3,107.06710822666923,35.62763958339335,0.0,0.0,0.00048708132951524375,0.00023460067671157933,71.1554977635402,212.30090770372433
D2020_E04_GZ_TRAM_HP1_FULL,2020,Huangpu Tram 1 completion to Xiangxue,D_equal_city,3,303.3585633269533,127.56065594238136,3.769618912978428,0.9032379364945129,0.00023128590975950936,0.00018521106056177317,179.2415340801742,725.413683651814
D2021_E01_FS_TRAM_NH1_FIRST,2021,Nanhai Tram 1 first section,D_equal_city,3,3669.468062516069,738.9249767898391,2641.0118367765945,505.47751156578255,0.0034304573782756227,0.0008794643063904806,2365.827530779896,12667.202920357313
D2021_E02_GZ_M18_FIRST,2021,Guangzhou Line 18 first section,D_equal_city,3,2656.866562569395,428.00683375211946,213.98778014879204,45.80990593500318,0.0007652720367205505,0.0002800253410325283,1059.821717101536,9428.022258626364
D2021_E03_FS_M2_PHASE1,2021,Foshan Metro Line 2 phase 1,D_equal_city,3,6583.151501196109,1636.1158982214338,4396.463676205692,1094.857738209067,0.00636852855648132,0.001961242678559593,4394.942608083761,23373.714687301424
D2022_E01_GZ_M22_FIRST,2022,Guangzhou Line 22 first section,D_equal_city,3,790.430269574661,178.0115098836807,175.54348029996876,46.712562895432164,0.000581993797710689,0.00014816884844941856,664.3514095519871,1870.6825307541803
D2022_E02_GZ_M7_WEST,2022,Guangzhou Line 7 western extension,D_equal_city,3,3954.9260519156887,1168.9662287549033,3375.0689779757213,965.377206689573,0.0020322726504542546,0.0008511653162303908,2792.526720693544,7095.272577573281
D2022_E03_GZ_M8_RAINBOW,2022,Rainbow Bridge infill station activation,D_equal_city,3,741.1668575691145,89.12296172611899,105.7532247052809,23.147142531149893,0.0,0.0,9.288718133824108,3564.6826194240552
D2022_E04_FS_TRAM_NH1_FULL,2022,Nanhai Tram 1 completion,D_equal_city,3,638.8733477088315,282.1491710742061,455.6616029719076,198.02975766643405,0.00033850581986087023,0.0002546397702609738,298.50966388273554,3274.99799844484
D2022_E05_FS_M3_FIRST,2022,Foshan Metro Line 3 first section,D_equal_city,3,5363.172865178466,1455.9901823254104,2427.6741222326327,604.0770150262406,0.008860728417280422,0.002791897700192263,3850.3541231587765,16015.634302448418
D2022_E06_GZ_M8_XICUN,2022,Xicun station and Line 5 transfer activation,D_equal_city,3,1270.6121729954264,143.27098550459536,163.29727693937517,26.326435195075764,0.0,0.0,2.015921046625714,5719.33953300347
D2023_E01_GZ_M5_EAST,2023,Guangzhou Line 5 eastern extension,D_equal_city,3,2262.8358918560275,392.4920727517612,61.18676643741315,15.508121891245144,0.0012677074941100342,0.0002591985073570669,1434.2303421904182,4722.098769658358
D2023_E02_GZ_M7_PHASE2,2023,Guangzhou Line 7 phase 2,D_equal_city,3,2554.856544940516,790.7253135399442,331.47853659531876,114.5271618809049,0.0009309202449175386,0.00045351889605117437,1236.086416423656,7264.597570338534
D2024_E01_FOUR_LINE_INTERCITY,2024,Four-line Greater Bay Area local intercity integration,D_equal_city,3,1489.9171732766008,657.2586516432542,370.485996772338,167.52858123303574,0.0037503405861292268,0.0028657016596871673,916.683683453182,9492.703961699468
D2024_E02_GAOMING_SUSPENSION,2024,Gaoming Tram suspension,D_equal_city,3,-54.065626359923016,-27.92615127515637,0.0,0.0,-0.00196900046716101,-0.0010650592928540842,0.0,-496.6993635072547
D2024_E03_FS_M3_TWO_SECTIONS,2024,Foshan Metro Line 3 central and northern sections,D_equal_city,3,4135.4541806393145,858.5683374601698,2495.2680402318397,433.908950436465,0.004179042228536875,0.00155158775623574,2136.733848718016,16000.775200315735
D2024_E04_GZ_M3_EAST,2024,Guangzhou Line 3 eastern extension,D_equal_city,3,848.4210487509772,234.45249144107876,110.94278460516553,34.77512612372408,0.00042933622212031584,0.00016051625248687018,507.71918518603167,2132.5303324796278
D2024_E05_HZ1_TOWER_CLOSURE,2024,Haizhu Tram Tower station section closure,D_equal_city,3,-126.99920570176941,-18.28071420680134,-12.272591628395025,-3.017080072146907,0.0,0.0,-2.544783859293602,-495.77488505451333
D2024_E06_GZ_M11_SHAHE,2024,"Guangzhou Line 11 loop, Shahe activation and Line 21 topology reassignment",D_equal_city,3,16642.008580109432,2061.758653422825,1786.3068503000113,349.6436495958513,0.004677327239280941,0.0005534804520165133,10971.435215752945,37561.67914791717
