event_id,year,event_label,geography,cities,population_weighted_total_opportunity_contribution,area_weighted_total_opportunity_contribution,population_weighted_cross_city_opportunity_contribution,area_weighted_cross_city_opportunity_contribution,population_weighted_coverage_contribution,area_weighted_coverage_contribution,population_weighted_total_contribution_uncovered,population_weighted_total_contribution_covered,start_total_opportunity,total_contribution_percent_of_start,cross_city_share_of_total_contribution,total_rank_desc,cross_city_rank_desc,coverage_rank_desc,contribution_type,total_nonzero_cells,total_positive_cells,total_negative_cells,total_nonzero_population_fraction,total_affected_cities,cross_city_nonzero_cells,cross_city_positive_cells,cross_city_negative_cells,cross_city_nonzero_population_fraction,cross_city_affected_cities,coverage_nonzero_cells,coverage_positive_cells,coverage_negative_cells,coverage_nonzero_population_fraction,coverage_affected_cities
D2024_E06_GZ_M11_SHAHE,2024,"Guangzhou Line 11 loop, Shahe activation and Line 21 topology reassignment",D_equal_city,3,16642.008580109432,2061.758653422825,1786.306850300011,349.6436495958513,0.0046773272392809,0.0005534804520165,10971.435215752945,37561.67914791717,166669.37998806857,9.985042592287073,0.10733721483805803,1.0,6.0,3.0,coverage_and_cross_city_connectivity,1664,1636,28,0.1657298091025586,2,561,538,23,0.05048656485495978,2,45,45,0,0.006617544207464885,1
D2020_E02_GZ_M8_NORTH,2020,Guangzhou Line 8 northern extension,D_equal_city,3,9727.818445167291,1192.605241405561,648.8613777282908,109.13345005108108,0.0039538362552744,0.0005679805857227,6449.762040146354,27344.640681238012,125772.31632946101,7.734467114118529,0.06670163319615,2.0,7.0,5.0,coverage_and_cross_city_connectivity,996,996,0,0.12844384201798034,2,159,159,0,0.016614301724362235,2,46,46,0,0.005593939630441198,1
D2021_E03_FS_M2_PHASE1,2021,Foshan Metro Line 2 phase 1,D_equal_city,3,6583.151501196109,1636.1158982214338,4396.463676205692,1094.857738209067,0.0063685285564813,0.0019612426785595,4394.942608083761,23373.714687301424,136183.01986004828,4.834047231410672,0.667835712941877,3.0,1.0,2.0,coverage_and_cross_city_connectivity,1080,1080,0,0.13437463193245403,2,1080,1080,0,0.13437463193245403,2,86,86,0,0.0048601508639017615,2
D2022_E05_FS_M3_FIRST,2022,Foshan Metro Line 3 first section,D_equal_city,3,5363.172865178466,1455.9901823254104,2427.6741222326327,604.0770150262406,0.0088607284172804,0.0027918977001922,3850.354123158777,16015.634302448418,149092.50598632987,3.5972115631822636,0.45265632551112056,4.0,5.0,1.0,coverage_and_cross_city_connectivity,1103,1103,0,0.13542161617597362,2,847,847,0,0.11712590326248853,2,126,126,0,0.007081289799626154,1
D2019_E01_GZ_M21_WEST,2019,Guangzhou Line 21 western section,D_equal_city,3,4340.052231412116,815.1781771292518,116.63214806019704,18.783894778482704,0.0027420594495518,0.0005926753937976,3634.050720138283,7864.821917293114,119905.53790615713,3.6195594525490677,0.026873443415276276,5.0,16.0,8.0,coverage_and_cross_city_connectivity,1062,1062,0,0.12542146064492563,2,142,142,0,0.013646404730117917,2,48,48,0,0.003879501839109288,1
D2024_E03_FS_M3_TWO_SECTIONS,2024,Foshan Metro Line 3 central and northern sections,D_equal_city,3,4135.4541806393145,858.5683374601698,2495.2680402318397,433.908950436465,0.0041790422285368,0.0015515877562357,2136.733848718016,16000.775200315737,166669.37998806857,2.481232114102399,0.6033842792682296,6.0,4.0,4.0,coverage_and_cross_city_connectivity,1292,1292,0,0.1489890588082327,2,1030,1030,0,0.13335105952265283,2,69,69,0,0.0032323230039262587,1
D2022_E02_GZ_M7_WEST,2022,Guangzhou Line 7 western extension,D_equal_city,3,3954.9260519156887,1168.966228754903,3375.0689779757213,965.377206689573,0.0020322726504542,0.0008511653162303,2792.526720693544,7095.272577573281,149092.50598632987,2.652665890717748,0.8533835863608382,7.0,2.0,9.0,coverage_and_cross_city_connectivity,1294,1294,0,0.14499503281785706,2,1252,1252,0,0.14331678335206738,2,42,42,0,0.0018976301742215098,1
D2021_E01_FS_TRAM_NH1_FIRST,2021,Nanhai Tram 1 first section,D_equal_city,3,3669.468062516069,738.9249767898391,2641.0118367765945,505.47751156578255,0.0034304573782756,0.0008794643063904,2365.827530779896,12667.202920357313,136183.01986004828,2.694512183888333,0.7197260724939282,8.0,3.0,7.0,coverage_and_cross_city_connectivity,928,928,0,0.12743338627803635,2,735,735,0,0.11251480915082701,2,38,38,0,0.0026041500473399076,1
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,D_equal_city,3,3522.2986828348658,389.68146774248936,522.3845734419848,87.28666886624796,0.0009482894456291,8.615706565221248e-05,1644.1540882475647,16652.204059823907,114722.41164471395,3.070279496689052,0.14830785815743255,9.0,8.0,13.0,coverage_and_cross_city_connectivity,890,890,0,0.11937929700060003,2,230,230,0,0.02261773713007154,2,7,7,0,0.001341652402513574,1
D2021_E02_GZ_M18_FIRST,2021,Guangzhou Line 18 first section,D_equal_city,3,2656.866562569395,428.00683375211946,213.98778014879204,45.80990593500318,0.0007652720367205,0.0002800253410325,1059.821717101536,9428.022258626364,136183.01986004828,1.950952890675935,0.08054141038300748,10.0,12.0,15.0,coverage_and_cross_city_connectivity,1156,1156,0,0.13711521886618075,2,258,258,0,0.02009111073485461,2,23,23,0,0.0010827169609183632,1
