event_id,year,event_label,geography,metric,baseline_stratum,full_valid_population_denominator,stratum_population,stratum_population_fraction,additive_population_weighted_contribution,full_population_weighted_contribution,stratum_share_of_project_contribution
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,D_equal_city,cross_city_opportunity,baseline_covered,38250058.61750648,4952082.071377605,0.10168283221613855,0.8274205898060409,1.040408425121016,0.7952843996912067
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,D_equal_city,cross_city_opportunity,baseline_uncovered,38250058.61750648,33297976.546128884,0.8983171677838615,0.2129878353149748,1.040408425121016,0.20471560030879313
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,D_equal_city,total_opportunity,baseline_covered,38250058.61750648,4952082.071377605,0.10168283221613855,68.28369048946745,144.38089772270308,0.47294130710152954
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,D_equal_city,total_opportunity,baseline_uncovered,38250058.61750648,33297976.546128884,0.8983171677838615,76.09720723323566,144.38089772270308,0.5270586928984706
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Dongguan,coverage,baseline_covered,10532289.192640668,303789.0819543783,0.0288435948157071,0.0,0.0,
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Dongguan,coverage,baseline_uncovered,10532289.192640668,10228500.110686291,0.971156405184293,0.0,0.0,
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Dongguan,cross_city_opportunity,baseline_covered,10532289.192640668,303789.0819543783,0.0288435948157071,0.0,0.0,
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Dongguan,cross_city_opportunity,baseline_uncovered,10532289.192640668,10228500.110686291,0.971156405184293,0.0,0.0,
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Dongguan,total_opportunity,baseline_covered,10532289.192640668,303789.0819543783,0.0288435948157071,0.0,0.0,
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Dongguan,total_opportunity,baseline_uncovered,10532289.192640668,10228500.110686291,0.971156405184293,0.0,0.0,
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Foshan,coverage,baseline_covered,9678873.784230271,386851.08173624065,0.03996860485633511,0.0,0.0,
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Foshan,coverage,baseline_uncovered,9678873.784230271,9292022.70249403,0.9600313951436649,0.0,0.0,
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Foshan,cross_city_opportunity,baseline_covered,9678873.784230271,386851.08173624065,0.03996860485633511,2.457906523691572,2.4579065236915723,0.9999999999999998
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Foshan,cross_city_opportunity,baseline_uncovered,9678873.784230271,9292022.70249403,0.9600313951436649,0.0,2.4579065236915723,0.0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Foshan,total_opportunity,baseline_covered,9678873.784230271,386851.08173624065,0.03996860485633511,2.4579065236917637,2.4579065236917637,1.0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Foshan,total_opportunity,baseline_uncovered,9678873.784230271,9292022.70249403,0.9600313951436649,0.0,2.4579065236917637,0.0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Guangzhou,coverage,baseline_covered,18038895.640635543,4261441.907686986,0.23623629697637344,0.0,0.0004714733549558347,0.0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Guangzhou,coverage,baseline_uncovered,18038895.640635543,13777453.732948558,0.7637637030236267,0.0004714733549558347,0.0004714733549558347,1.0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Guangzhou,cross_city_opportunity,baseline_covered,18038895.640635543,4261441.907686986,0.23623629697637344,0.02435524572655113,0.6633187516714756,0.03671725797767533
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Guangzhou,cross_city_opportunity,baseline_uncovered,18038895.640635543,13777453.732948558,0.7637637030236267,0.6389635059449245,0.6633187516714756,0.9632827420223247
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Guangzhou,total_opportunity,baseline_covered,18038895.640635543,4261441.907686986,0.23623629697637344,202.39316494471055,430.6847866444175,0.46993339728020306
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,Guangzhou,total_opportunity,baseline_uncovered,18038895.640635543,13777453.732948558,0.7637637030236267,228.29162169970698,430.6847866444175,0.530066602719797
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,D_equal_city,coverage,baseline_covered,38250058.61750648,4952082.071377605,0.10168283221613855,0.0,0.0009482894456291777,0.0
