event_id,year,event_label,geography,cities,population_weighted_total_opportunity_contribution_r0,area_weighted_total_opportunity_contribution_r0,population_weighted_cross_city_opportunity_contribution_r0,area_weighted_cross_city_opportunity_contribution_r0,population_weighted_coverage_contribution_r0,area_weighted_coverage_contribution_r0,population_weighted_total_contribution_uncovered_r0,population_weighted_total_contribution_covered_r0,population_weighted_total_opportunity_contribution_r3,area_weighted_total_opportunity_contribution_r3,population_weighted_cross_city_opportunity_contribution_r3,area_weighted_cross_city_opportunity_contribution_r3,population_weighted_coverage_contribution_r3,area_weighted_coverage_contribution_r3,population_weighted_total_contribution_uncovered_r3,population_weighted_total_contribution_covered_r3,total_opportunity_sign_match,total_opportunity_rank_r0,total_opportunity_rank_r3,cross_city_opportunity_sign_match,cross_city_opportunity_rank_r0,cross_city_opportunity_rank_r3,coverage_sign_match,coverage_rank_r0,coverage_rank_r3
D2018_E01_GZ_M3_AIRPORT_NORTH,2018,Guangzhou Line 3 Airport North extension,D_equal_city,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,27.0,27.0,True,24.0,24.0,True,25.0,25.0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,D_equal_city,3,144.38089772270308,33.4042259971548,1.040408425121016,0.1851903308995336,0.0001571577849852,4.9389616149806175e-05,99.63449026443408,306.07875601276066,179.7372922363545,42.40482235095446,1.6763496966430371,0.3455728580460931,0.0001659456845908,6.173702018725772e-05,101.478621765358,451.8039214302966,True,23.0,23.0,True,22.0,22.0,True,24.0,23.0
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,D_equal_city,3,3522.2986828348658,389.68146774248936,522.3845734419848,87.28666886624796,0.0009482894456291,8.615706565221248e-05,1644.1540882475647,16652.204059823907,3531.2707891462046,394.8931563397582,595.2173878191052,100.13234096692156,0.0008232798837082,7.380966161476094e-05,1507.258352273444,18647.633883998245,True,9.0,9.0,True,8.0,8.0,True,13.0,13.0
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,D_equal_city,3,1499.5031110419122,325.1948221045088,40.9301446776213,7.485187348793622,0.0014561095048491,0.0005309383736104,890.8775578205531,4144.3799204178495,1417.4499851885646,300.88736344347365,39.33370590255108,7.296861326731883,0.0014687444634722,0.0005309383736104,845.9828978849141,3830.047991649588,True,13.0,15.0,True,20.0,20.0,True,11.0,11.0
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,D_equal_city,3,16.94356984373663,15.338780645229198,0.0,0.0,0.0005865183199729,0.0003704221211235,16.626717612048857,17.96796887505634,18.983165614155737,16.863599629512944,0.0,0.0,0.000623124974618,0.0003704221211235,18.58556918596614,20.24196514270053,True,26.0,26.0,True,24.0,24.0,True,16.0,17.0
D2019_E01_GZ_M21_WEST,2019,Guangzhou Line 21 western section,D_equal_city,3,4340.052231412116,815.1781771292518,116.63214806019704,18.783894778482704,0.0027420594495518,0.0005926753937976,3634.050720138283,7864.821917293114,4763.4151311661435,869.2126278697483,141.37878400299692,22.75826137478278,0.0028848618325917,0.0006172852820538,3955.9740547142,8806.608507576428,True,5.0,5.0,True,16.0,15.0,True,8.0,8.0
D2019_E02_GZ_M8_CULTURAL_PARK,2019,Guangzhou Line 8 Cultural Park extension,D_equal_city,3,1472.6605655318197,136.22701377863834,143.2354264215662,21.457169003163127,0.0001743949395894,1.2032956643495266e-05,392.0414126484422,7062.325974695056,933.1546438637338,87.43726470898592,107.5433401181445,15.119816569118074,0.0,0.0,0.5536032594340498,5374.337512892226,True,15.0,17.0,True,15.0,16.0,False,23.0,25.0
D2019_E03_FS_TRAM_GM1,2019,Foshan Gaoming Tram demonstration line,D_equal_city,3,54.06562635992301,27.92615127515636,0.0,0.0,0.001969000467161,0.001065059292854,56.31651905699638,0.0,54.20191682672524,26.807857478874062,0.0,0.0,0.0020385173219653,0.0010421404821861,56.46283548884156,0.0,True,25.0,25.0,True,24.0,24.0,True,10.0,10.0
D2020_E01_GZ_TRAM_HP1_FIRST,2020,Huangpu Tram 1 first section,D_equal_city,3,272.4594138663504,164.51874178319747,0.513523676784184,0.2461221315876239,0.0004701497734965,0.0004074643332359,182.95646590299071,542.9673583913692,272.67864316278906,169.7396358943279,0.5399280610282552,0.4384768820443594,0.0004904540185514,0.0004321591413108,189.1161037292559,520.4010774224158,True,22.0,22.0,True,23.0,23.0,True,19.0,20.0
D2020_E02_GZ_M8_NORTH,2020,Guangzhou Line 8 northern extension,D_equal_city,3,9727.818445167291,1192.605241405561,648.8613777282908,109.13345005108108,0.0039538362552744,0.0005679805857227,6449.762040146354,27344.640681238012,9731.947801110511,1164.7287580957536,626.4953772555293,101.36757160852564,0.00409262330132,0.0005547476643403,7036.622844810325,24565.887481558417,True,2.0,2.0,True,7.0,7.0,True,5.0,4.0
