event_id,year,event_label,geography,cities,population_weighted_total_opportunity_contribution_r0,area_weighted_total_opportunity_contribution_r0,population_weighted_cross_city_opportunity_contribution_r0,area_weighted_cross_city_opportunity_contribution_r0,population_weighted_coverage_contribution_r0,area_weighted_coverage_contribution_r0,population_weighted_total_contribution_uncovered_r0,population_weighted_total_contribution_covered_r0,population_weighted_total_opportunity_contribution_r2,area_weighted_total_opportunity_contribution_r2,population_weighted_cross_city_opportunity_contribution_r2,area_weighted_cross_city_opportunity_contribution_r2,population_weighted_coverage_contribution_r2,area_weighted_coverage_contribution_r2,population_weighted_total_contribution_uncovered_r2,population_weighted_total_contribution_covered_r2,total_opportunity_sign_match,total_opportunity_rank_r0,total_opportunity_rank_r2,cross_city_opportunity_sign_match,cross_city_opportunity_rank_r0,cross_city_opportunity_rank_r2,coverage_sign_match,coverage_rank_r0,coverage_rank_r2
D2018_E01_GZ_M3_AIRPORT_NORTH,2018,Guangzhou Line 3 Airport North extension,D_equal_city,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,27.0,27.0,True,24.0,22.0,True,25.0,25.0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,D_equal_city,3,144.38089772270308,33.4042259971548,1.040408425121016,0.1851903308995336,0.0001571577849852,4.9389616149806175e-05,99.63449026443408,306.07875601276066,57.067236759115985,14.434508531346518,0.0,0.0,0.0001571577849852,4.9389616149806175e-05,39.23321977267,114.72550108043876,True,23.0,23.0,False,22.0,22.0,True,24.0,24.0
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,D_equal_city,3,3522.2986828348658,389.68146774248936,522.3845734419848,87.28666886624796,0.0009482894456291,8.615706565221248e-05,1644.1540882475647,16652.204059823907,2976.402986391093,326.53577869569637,424.6166685909462,72.4478352970417,0.0009482894456291,8.615706565221248e-05,1268.0875695958678,14162.093031139584,True,9.0,4.0,True,8.0,7.0,True,13.0,13.0
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,D_equal_city,3,1499.5031110419122,325.1948221045088,40.9301446776213,7.485187348793622,0.0014561095048491,0.0005309383736104,890.8775578205531,4144.3799204178495,827.2656503292313,156.31988844334435,9.151389425854468,1.456266557199716,0.0014561095048491,0.0005309383736104,513.7120948951891,2004.0683498749968,True,13.0,15.0,True,20.0,20.0,True,11.0,11.0
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,D_equal_city,3,16.94356984373663,15.338780645229198,0.0,0.0,0.0005865183199729,0.0003704221211235,16.626717612048857,17.96796887505634,11.41584019053893,10.977519707586469,0.0,0.0,0.0005865183199729,0.0003704221211235,11.074252289660167,12.52021087117705,True,26.0,26.0,True,24.0,22.0,True,16.0,16.0
D2019_E01_GZ_M21_WEST,2019,Guangzhou Line 21 western section,D_equal_city,3,4340.052231412116,815.1781771292518,116.63214806019704,18.783894778482704,0.0027420594495518,0.0005926753937976,3634.050720138283,7864.821917293114,2850.391486792638,480.4857966516731,21.23663619766908,3.1752882074799227,0.0027420594495518,0.0005926753937976,2494.760247434447,4245.220943602905,True,5.0,5.0,True,16.0,17.0,True,8.0,8.0
D2019_E02_GZ_M8_CULTURAL_PARK,2019,Guangzhou Line 8 Cultural Park extension,D_equal_city,3,1472.6605655318197,136.22701377863834,143.2354264215662,21.457169003163127,0.0001743949395894,1.2032956643495266e-05,392.0414126484422,7062.325974695056,1408.7164915901533,128.25660700493512,125.53123814728964,19.01454474150767,0.0001743949395894,1.2032956643495266e-05,312.8756680974021,6793.488855407569,True,15.0,13.0,True,15.0,11.0,True,23.0,23.0
D2019_E03_FS_TRAM_GM1,2019,Foshan Gaoming Tram demonstration line,D_equal_city,3,54.06562635992301,27.92615127515636,0.0,0.0,0.001969000467161,0.001065059292854,56.31651905699638,0.0,50.04496712327899,25.360825018479854,0.0,0.0,0.001969000467161,0.001065059292854,52.1284693150998,0.0,True,25.0,24.0,True,24.0,22.0,True,10.0,10.0
D2020_E01_GZ_TRAM_HP1_FIRST,2020,Huangpu Tram 1 first section,D_equal_city,3,272.4594138663504,164.51874178319747,0.513523676784184,0.2461221315876239,0.0004701497734965,0.0004074643332359,182.95646590299071,542.9673583913692,68.87970922242964,51.300315005716264,0.0,0.0,0.0004701497734965,0.0004074643332359,49.16052083787246,126.6639491812955,True,22.0,22.0,False,23.0,22.0,True,19.0,19.0
D2020_E02_GZ_M8_NORTH,2020,Guangzhou Line 8 northern extension,D_equal_city,3,9727.818445167291,1192.605241405561,648.8613777282908,109.13345005108108,0.0039538362552744,0.0005679805857227,6449.762040146354,27344.640681238012,7402.883782124296,865.9209236899284,404.4564492159988,65.47432583930072,0.0039538362552744,0.0005679805857227,4833.9154837681535,20005.81287682124,True,2.0,2.0,True,7.0,8.0,True,5.0,5.0
D2020_E03_LOCAL_INTERCITY,2020,Guangqing-Guangzhou East Ring through-running local intercity,D_equal_city,3,107.06710822666923,35.62763958339335,0.0,0.0,0.0004870813295152,0.0002346006767115,71.1554977635402,212.3009077037243,36.7836697732503,13.131302924981638,0.0,0.0,0.0004870813295152,0.0002346006767115,26.71248403551216,66.29582828559144,True,24.0,25.0,True,24.0,22.0,True,18.0,18.0
D2020_E04_GZ_TRAM_HP1_FULL,2020,Huangpu Tram 1 completion to Xiangxue,D_equal_city,3,303.3585633269533,127.56065594238136,3.769618912978428,0.9032379364945128,0.0002312859097595,0.0001852110605617,179.2415340801742,725.413683651814,137.954506601182,57.56168500562441,0.1861573789957428,0.0294877322069411,0.0002312859097595,0.0001852110605617,79.30071500401631,313.1571988047753,True,21.0,21.0,True,21.0,21.0,True,22.0,22.0
