event_id,year,event_label,metric,value_500m_full_support,value_1km_complete_parent_support,difference,sign_500m,sign_1km
D2019_E01_GZ_M21_WEST,2019,Guangzhou Line 21 western section,cross_city_opportunity_contribution,116.63214806019704,107.4534964723083,-9.178651587888737,1,1
D2019_E02_GZ_M8_CULTURAL_PARK,2019,Guangzhou Line 8 Cultural Park extension,cross_city_opportunity_contribution,143.2354264215662,73.1285455600447,-70.10688086152149,1,1
D2019_E03_FS_TRAM_GM1,2019,Foshan Gaoming Tram demonstration line,cross_city_opportunity_contribution,0.0,0.0,0.0,0,0
D2020_E01_GZ_TRAM_HP1_FIRST,2020,Huangpu Tram 1 first section,cross_city_opportunity_contribution,0.513523676784184,0.17387821372161508,-0.33964546306256893,1,1
D2020_E02_GZ_M8_NORTH,2020,Guangzhou Line 8 northern extension,cross_city_opportunity_contribution,648.8613777282908,608.3694558358135,-40.49192189247731,1,1
D2020_E03_LOCAL_INTERCITY,2020,Guangqing-Guangzhou East Ring through-running local intercity,cross_city_opportunity_contribution,0.0,0.0,0.0,0,0
D2020_E04_GZ_TRAM_HP1_FULL,2020,Huangpu Tram 1 completion to Xiangxue,cross_city_opportunity_contribution,3.769618912978428,1.834532790606005,-1.935086122372423,1,1
D2021_E01_FS_TRAM_NH1_FIRST,2021,Nanhai Tram 1 first section,cross_city_opportunity_contribution,2641.0118367765945,2703.209532884624,62.197696108029504,1,1
D2021_E02_GZ_M18_FIRST,2021,Guangzhou Line 18 first section,cross_city_opportunity_contribution,213.98778014879204,205.94905310736274,-8.038727041429297,1,1
D2021_E03_FS_M2_PHASE1,2021,Foshan Metro Line 2 phase 1,cross_city_opportunity_contribution,4396.463676205692,4500.3090783483885,103.84540214269691,1,1
D2022_E01_GZ_M22_FIRST,2022,Guangzhou Line 22 first section,cross_city_opportunity_contribution,175.54348029996876,182.60018721542872,7.056706915459955,1,1
D2022_E02_GZ_M7_WEST,2022,Guangzhou Line 7 western extension,cross_city_opportunity_contribution,3375.0689779757213,3490.5358152547087,115.46683727898744,1,1
D2022_E03_GZ_M8_RAINBOW,2022,Rainbow Bridge infill station activation,cross_city_opportunity_contribution,105.7532247052809,102.8894803135746,-2.8637443917063052,1,1
D2022_E04_FS_TRAM_NH1_FULL,2022,Nanhai Tram 1 completion,cross_city_opportunity_contribution,455.6616029719076,464.7832654852882,9.121662513380613,1,1
D2022_E05_FS_M3_FIRST,2022,Foshan Metro Line 3 first section,cross_city_opportunity_contribution,2427.6741222326327,2466.4752211335735,38.801098900940815,1,1
