city,origin_cells,valid_origin_cells,routable_origin_cells,structural_zero_origin_cells,missing_walk_snap_origin_cells,valid_population,missing_population,missing_population_fraction,total_opportunity_2017,total_opportunity_2024,total_opportunity_change_percent,cross_city_opportunity_2017,cross_city_opportunity_2024,coverage_2017,coverage_2024,coverage_change_pp
Guangzhou,27296,27074,2901,24173,222,18038895.640635543,199790.34069147258,0.010954206947584947,307498.92030305,464328.5321135063,51.00167885334221,11426.77015478026,32589.50406992142,0.2362362969763734,0.2972772596847994,6.104096270842599
Foshan,14482,14456,1124,13332,26,9678873.784230271,16362.880513161104,0.0016877236811211067,33459.325092091785,99996.91837057778,198.86113391513794,28025.73052472402,68405.04446081781,0.0399686048563351,0.1163828973028501,7.641429244651501
Dongguan,9094,9077,409,8668,17,10532289.192640668,10608.948824602825,0.0010062649455824465,3208.989539000051,4486.89793226562,39.82276594344323,0.0,183.62889750765996,0.0288435948157071,0.0378462858142726,0.9002690998565501
