event_id,year,event_label,total_opportunity_baseline_uncovered,total_opportunity_baseline_covered,total_opportunity_total,total_opportunity_closure_error,total_opportunity_legacy_total_match_error,cross_city_opportunity_baseline_uncovered,cross_city_opportunity_baseline_covered,cross_city_opportunity_total,cross_city_opportunity_closure_error,cross_city_opportunity_legacy_total_match_error,coverage_baseline_uncovered,coverage_baseline_covered,coverage_total,coverage_closure_error,coverage_legacy_total_match_error
D2018_E01_GZ_M3_AIRPORT_NORTH,2018,Guangzhou Line 3 Airport North extension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,76.09720723323566,68.28369048946745,144.38089772270308,2.842170943040401e-14,0.0,0.2129878353149748,0.8274205898060409,1.040408425121016,-2.220446049250313e-16,0.0,0.0001571577849852,0.0,0.0001571577849852,0.0,0.0
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,1255.7452147813945,2266.553468053471,3522.2986828348658,0.0,0.0,71.21198071697893,451.1725927250059,522.3845734419848,1.1368683772161603e-13,0.0,0.0009482894456291,0.0,0.0009482894456291,0.0,0.0
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,680.4199425016707,819.0831685402413,1499.5031110419122,-2.2737367544323206e-13,0.0,8.340655721265351,32.58948895635594,40.9301446776213,-7.105427357601002e-15,0.0,0.0014561095048491,0.0,0.0014561095048491,0.0,0.0
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,12.698883412506587,4.244686431230043,16.94356984373663,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0005865183199729,0.0,0.0005865183199729,0.0,0.0
D2019_E01_GZ_M21_WEST,2019,Guangzhou Line 21 western section,2741.2352417217166,1598.8169896904008,4340.052231412116,9.094947017729282e-13,0.0,51.797050811929466,64.83509724826756,116.63214806019704,-1.4210854715202004e-14,0.0,0.0027420594495518,0.0,0.0027420594495518,0.0,0.0
D2019_E02_GZ_M8_CULTURAL_PARK,2019,Guangzhou Line 8 Cultural Park extension,295.7244736874179,1176.9360918444013,1472.6605655318197,-4.547473508864641e-13,0.0,14.385738757889746,128.84968766367643,143.2354264215662,0.0,0.0,0.0001743949395894,0.0,0.0001743949395894,0.0,0.0
D2019_E03_FS_TRAM_GM1,2019,Foshan Gaoming Tram demonstration line,54.065626359923016,0.0,54.06562635992301,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.001969000467161,0.0,0.001969000467161,0.0,0.0
D2020_E01_GZ_TRAM_HP1_FIRST,2020,Huangpu Tram 1 first section,136.40687326655032,136.05254059980007,272.4594138663504,-5.684341886080802e-14,0.0,0.0527792356773128,0.4607444411068711,0.513523676784184,0.0,0.0,0.0004701497734965,0.0,0.0004701497734965,0.0,0.0
D2020_E02_GZ_M8_NORTH,2020,Guangzhou Line 8 northern extension,4808.749823994437,4919.068621172858,9727.818445167291,3.637978807091713e-12,0.0,196.081752651673,452.77962507661783,648.8613777282908,0.0,0.0,0.0039538362552744,0.0,0.0039538362552744,0.0,0.0
